type,ts,symbol_id,mid,account_id,side
Q,1700000000000,0,1.100002,,
Q,1700000000000,1,150.001377,,
T,1700000000000,1,,280,1
Q,1700000000001,0,1.100006,,
Q,1700000000001,1,150.000710,,
T,1700000000001,1,,12,-1
Q,1700000000002,0,1.100007,,
Q,1700000000002,1,150.000353,,
T,1700000000002,0,,183,1
Q,1700000000003,0,1.100012,,
Q,1700000000003,1,150.001223,,
T,1700000000003,1,,11,1
Q,1700000000004,0,1.100013,,
Q,1700000000004,1,149.999018,,
T,1700000000004,0,,118,1
Q,1700000000005,0,1.100012,,
Q,1700000000005,1,150.001131,,
T,1700000000005,0,,189,-1
Q,1700000000006,0,1.100021,,
Q,1700000000006,1,149.999199,,
T,1700000000006,0,,244,-1
Q,1700000000007,0,1.100024,,
Q,1700000000007,1,149.999743,,
T,1700000000007,1,,225,1
Q,1700000000008,0,1.100025,,
Q,1700000000008,1,149.998276,,
T,1700000000008,0,,29,1
Q,1700000000009,0,1.100024,,
Q,1700000000009,1,149.998210,,
T,1700000000009,1,,286,-1
Q,1700000000010,0,1.100032,,
Q,1700000000010,1,149.999093,,
T,1700000000010,0,,106,-1
Q,1700000000011,0,1.100032,,
Q,1700000000011,1,149.999564,,
T,1700000000011,1,,159,-1
Q,1700000000012,0,1.100037,,
Q,1700000000012,1,150.001565,,
T,1700000000012,1,,295,-1
Q,1700000000013,0,1.100040,,
Q,1700000000013,1,149.999887,,
T,1700000000013,1,,41,1
Q,1700000000014,0,1.100044,,
Q,1700000000014,1,150.001554,,
T,1700000000014,1,,23,-1
Q,1700000000015,0,1.100046,,
Q,1700000000015,1,150.000636,,
T,1700000000015,0,,56,1
Q,1700000000016,0,1.100049,,
Q,1700000000016,1,150.000539,,
T,1700000000016,1,,190,-1
Q,1700000000017,0,1.100050,,
Q,1700000000017,1,149.997368,,
T,1700000000017,0,,87,-1
Q,1700000000018,0,1.100052,,
Q,1700000000018,1,150.001723,,
T,1700000000018,0,,61,-1
Q,1700000000019,0,1.100057,,
Q,1700000000019,1,150.002211,,
T,1700000000019,1,,175,-1
Q,1700000000020,0,1.100059,,
Q,1700000000020,1,149.998360,,
T,1700000000020,1,,120,1
Q,1700000000021,0,1.100063,,
Q,1700000000021,1,150.002539,,
T,1700000000021,0,,109,-1
Q,1700000000022,0,1.100065,,
Q,1700000000022,1,150.000582,,
T,1700000000022,1,,295,-1
Q,1700000000023,0,1.100070,,
Q,1700000000023,1,150.002809,,
T,1700000000023,0,,97,1
Q,1700000000024,0,1.100073,,
Q,1700000000024,1,150.001251,,
T,1700000000024,0,,31,-1
Q,1700000000025,0,1.100075,,
Q,1700000000025,1,149.998415,,
T,1700000000025,1,,168,-1
Q,1700000000026,0,1.100075,,
Q,1700000000026,1,149.997903,,
T,1700000000026,0,,177,1
Q,1700000000027,0,1.100081,,
Q,1700000000027,1,150.002856,,
T,1700000000027,1,,149,-1
Q,1700000000028,0,1.100084,,
Q,1700000000028,1,149.999897,,
T,1700000000028,0,,160,1
Q,1700000000029,0,1.100087,,
Q,1700000000029,1,149.998528,,
T,1700000000029,1,,78,-1
Q,1700000000030,0,1.100090,,
Q,1700000000030,1,150.001207,,
T,1700000000030,1,,216,-1
Q,1700000000031,0,1.100091,,
Q,1700000000031,1,150.001147,,
